Stories,,,,
Sales by Items By Group,,,,
STRAWBERRY CREAM FRAPP SMALL,,674.0,"150,796.07",
STRAWBERRY CREAM FRAPP MEDIUM,,512.0,"140,754.23",
STRAWBERRY CREAM FRAPP LARGE,,144.0,"43,479.88",
VANILLA FRAP SMALL,,113.0,"26,294.35",
VANILLA FRAPP MEDIUM,,129.0,"34,279.64",
VANILLA FRAPP LARGE,,14.0,"4,231.65",
HAZELNUT FRAPP SMALL,,25.0,"6,027.15",
HAZELNUT FRAPP MEDIUM,,54.0,"14,554.96",
HAZELNUT FRAPP LARGE,,5.0,"1,410.81",
TOFFEENUT FRAP SMALL,,12.0,"3,047.20",
TOFFEENUT FRAP MEDIUM,,36.0,"10,334.70",
TOFFEENUT CREAM  FRAP SMALL,,4.0,"1,070.26",
TOFFEENUT CREAM  FRAP MEDIUM,,10.0,"2,905.37",
TOFFEENUT CREAM  FRAP LARGE,,2.0,"700.00",
TOFFEENUT FRAP LARGE,,12.0,"4,167.57",
SALTED CARAMEL FRAPPE SMALL,,73.0,"18,120.67",
SALTED CARAMEL CREAM FRAPPE SMALL,,26.0,"6,635.79",
SALTED CARAMEL CREAM FRAPPE MEDIUM,,66.0,"19,179.64",
SALTED CARAMEL CREAM FRAPPE LARGE,,23.0,"7,453.75",
SALTED CARAMEL FRAPPE MEDIUM,,170.0,"49,231.14",
SALTED CARAMEL FRAPPE LARGE,,108.0,"36,028.53",
STRAWBERRY SHAKE,,3.0,"990.99",
Total by Group: BLENDED BRINKS,,13530.0,"3,510,984.68",
Group: ICE TEA,,,,
ICED PEACH TEA  SMALL,,314.0,"31,801.23",
ICED PEACH TEA  MEDIUM,,177.0,"43,202.40",
19-Jan-26,Years:2025 Months:0,,Page 6 of, 359
Description,Barcode,Qty,Total Amount,
ICED LEMON TEA  SMALL,,6.0,"1,400.00",
ICED LEMON TEA  MEDIUM,,2.0,"533.33",
ICED PEACH TEA LARGE,,78.0,"21,673.51",
Total by Group: ICE TEA,,577.0,"98,610.48",
Group: ADD SYRUP,,,,
ADD CARAMEL SMALL,,653.0,"14,660.36",
ADD VANILLA SMALL,,547.0,"15,523.84",
ADD HAZELNUT SMALL,,309.5,"9,922.94",
ADD CARAMEL MEDIUM,,1438.0,"47,414.51",
ADD VANILLA MEDIUM,,1382.0,"45,809.01",
ADD HAZELNUT MEDIUM,,391.0,"12,891.20",
ADD SHOT,,8074.5,"238,823.39",
ADD WHIPPED CREAM,,945.0,"32,782.52",
ADD MOCHA SMALL,,32.0,"695.59",
ADD WHITE MOCHA SMALL,,1654.0,"26,646.94",
ADD CARAMEL DRIZZLE,,939.0,"31,348.02",
ADD CHOCOLATE DRIZZLE,,299.0,"10,161.11",
ADD CARAMEL LARGE,,477.0,"15,990.03",
ADD VANILLA LARGE,,583.0,"19,528.95",
ADD HAZELNUT LARGE,,129.0,"4,395.14",
ADD CARAMEL SF MEDIUM,,1113.0,"37,294.20",
ADD CARAMEL SF LARGE,,361.0,"12,098.50",
ADD VANILLA SF SMALL,,1362.0,"45,294.36",
ADD VANILLA SF MEDIUM,,1624.0,"53,374.42",
ADD VANILLA SF LARGE,,575.0,"19,318.14",
ADD CARAMEL SF SMALL,,1184.0,"39,863.36",
ADD YIRGACHEFFE SHOT,,372.0,"12,602.58",
REPLACE 1 SHOT YIRGACHEFFE,,2017.0,"132,464.38",
REPLACE 2 SHOT YIRGACHEFFE,,1843.0,"120,424.44",
REPLACE 3 SHOT YIRGACHEFFE,,300.0,"19,814.53",
