Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
CHOCOLATE SABLE,222.00,"52,959.82",,"26,492.00",50.02,"26,467.82",,49.98,
DOUBLE CHOCOLATE MUFFIN,267.00,"54,666.49",,"12,538.07",22.94,"42,128.42",,77.06,
FRAMBOISE CHEESE CAKE,130.00,"47,193.69",,"31,530.85",66.81,"15,662.84",,33.19,
22-Jan-26,,,Years:2025 Month:0,,,,Page 9 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
LAZY CAKE,533.00,"170,541.92",,"79,505.83",46.62,"91,036.09",,53.38,
LOTUS CHEESE CAKE,155.00,"56,488.29",,"37,374.25",66.16,"19,114.04",,33.84,
ORANGE CAKE,84.00,"25,470.00",,"5,118.51",20.10,"20,351.49",,79.90,
RED VELVET CAKE,132.00,"40,311.41",,"19,690.00",48.84,"20,621.41",,51.16,
RED VELVET MUFFIN_,33.00,"6,693.21",,"1,290.01",19.27,"5,403.21",,80.73,
Total By Division:,"2,932.00","754,267.39",,"347,743.69",46.10,"406,523.70",,53.90,
COOKIES,,,,,,,,,
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,508.00,"164,927.03",,"45,466.00",27.57,"119,461.03",,72.43,
NY STYLE COOKIE - DOUBLE CHOCOLATE,137.00,"43,643.54",,"12,261.50",28.09,"31,382.04",,71.91,
Total By Division:,645.00,"208,570.57",,"57,727.50",27.68,"150,843.07",,72.32,
CROISSANT,,,,,,,,,
CHEESE CROISSANT,694.00,"145,217.84",,"57,972.13",39.92,"87,245.71",,60.08,
CHOCOLATE CROISSANT,492.00,"105,026.91",,"41,098.40",39.13,"63,928.51",,60.87,
PLAIN CROISSANT,112.00,"21,369.91",,"8,159.54",38.18,"13,210.37",,61.82,
THYME CROISSANT,235.00,"45,538.74",,"18,228.17",40.03,"27,310.57",,59.97,
Total By Division:,"1,533.00","317,153.39",,"125,458.24",39.56,"191,695.16",,60.44,
FRENCH PASTRY,,,,,,,,,
